comparison,comparator_model_id,comparator_display_name,final_model_id,metric,point_difference_comparator_minus_final,relative_difference,ci_lower,ci_upper,probability_final_improves,interval_excludes_zero,engine_alignment_count,statistical_interpretation
patch_transformer_10x5_mean_b_vs_final,patch_transformer_10x5_mean_b,Patch Transformer — 10×5 Patches with Mean Pooling,critical_boundary_safety_guarded_transformer,absolute_error,0.39182818253357576,0.02620047528853216,0.04336491933757363,0.7602568802717906,0.986,True,707,final lower/better
patch_transformer_10x5_mean_b_vs_final,patch_transformer_10x5_mean_b,Patch Transformer — 10×5 Patches with Mean Pooling,critical_boundary_safety_guarded_transformer,squared_error,12.952314531857036,0.028637352860602237,-3.4871994556451775,29.0908497343855,0.932,False,707,uncertain
patch_transformer_10x5_mean_b_vs_final,patch_transformer_10x5_mean_b,Patch Transformer — 10×5 Patches with Mean Pooling,critical_boundary_safety_guarded_transformer,nasa_contribution,0.9354904472758777,0.0802059488812518,-0.06292707338165854,2.0681315913458613,0.961,False,707,uncertain
patch_transformer_10x5_mean_b_vs_final,patch_transformer_10x5_mean_b,Patch Transformer — 10×5 Patches with Mean Pooling,critical_boundary_safety_guarded_transformer,optimistic_indicator,0.05799151343705799,0.10432569974554708,0.036775106082036775,0.08062234794908062,1.0,True,707,final lower/better
patch_transformer_10x5_mean_b_vs_final,patch_transformer_10x5_mean_b,Patch Transformer — 10×5 Patches with Mean Pooling,critical_boundary_safety_guarded_transformer,severe_optimistic_indicator,0.008486562942008486,0.13043478260869565,-0.002828854314002829,0.019801980198019802,0.934,False,707,uncertain
patch_transformer_10x5_mean_b_vs_final,patch_transformer_10x5_mean_b,Patch Transformer — 10×5 Patches with Mean Pooling,critical_boundary_safety_guarded_transformer,fixed_policy_critical_miss_indicator,0.03536067892503536,0.9615384615384616,0.021216407355021217,0.04950495049504951,1.0,True,707,final lower/better
patch_transformer_10x5_mean_b_vs_final,patch_transformer_10x5_mean_b,Patch Transformer — 10×5 Patches with Mean Pooling,critical_boundary_safety_guarded_transformer,mandatory_review_indicator,-0.07355021216407355,-0.6190476190476191,-0.09335219236209336,-0.05512729844413016,0.0,True,707,comparator lower/better
physics_regime_vs_final,physics_regime,Regime-Consistent Physics-Guided Patch Transformer,critical_boundary_safety_guarded_transformer,absolute_error,-0.07468116195190946,-0.005154515335827442,-0.17099331145686,0.012091874381188092,0.05,False,707,uncertain
physics_regime_vs_final,physics_regime,Regime-Consistent Physics-Guided Patch Transformer,critical_boundary_safety_guarded_transformer,squared_error,-1.965488550922345,-0.004493884487246131,-3.676875544464975,-0.3735765441964902,0.006,True,707,comparator lower/better
physics_regime_vs_final,physics_regime,Regime-Consistent Physics-Guided Patch Transformer,critical_boundary_safety_guarded_transformer,nasa_contribution,-0.010748687046516044,-0.0010029225390411323,-0.026720080692769037,0.005089166331080784,0.093,False,707,uncertain
physics_regime_vs_final,physics_regime,Regime-Consistent Physics-Guided Patch Transformer,critical_boundary_safety_guarded_transformer,optimistic_indicator,0.02263083451202263,0.04347826086956522,0.01272984441301273,0.033946251768033946,1.0,True,707,final lower/better
physics_regime_vs_final,physics_regime,Regime-Consistent Physics-Guided Patch Transformer,critical_boundary_safety_guarded_transformer,severe_optimistic_indicator,0.0,0.0,0.0,0.0,0.0,False,707,uncertain
physics_regime_vs_final,physics_regime,Regime-Consistent Physics-Guided Patch Transformer,critical_boundary_safety_guarded_transformer,fixed_policy_critical_miss_indicator,0.033946251768033946,0.96,0.021216407355021217,0.04671145685997168,1.0,True,707,final lower/better
physics_regime_vs_final,physics_regime,Regime-Consistent Physics-Guided Patch Transformer,critical_boundary_safety_guarded_transformer,mandatory_review_indicator,-0.06647807637906648,-0.5280898876404495,-0.08490099009900991,-0.04805516265912309,0.0,True,707,comparator lower/better
two_layer_compact_kan_h8_vs_final,two_layer_compact_kan_h8,AeroKAN-PHM Compact Residual Corrector,critical_boundary_safety_guarded_transformer,absolute_error,0.9026434931298155,0.05836377254213573,0.5554726715119526,1.2612130259875796,1.0,True,707,final lower/better
two_layer_compact_kan_h8_vs_final,two_layer_compact_kan_h8,AeroKAN-PHM Compact Residual Corrector,critical_boundary_safety_guarded_transformer,squared_error,21.682659386725888,0.04703215557052151,3.8059997082135992,39.00968623219641,0.994,True,707,final lower/better
two_layer_compact_kan_h8_vs_final,two_layer_compact_kan_h8,AeroKAN-PHM Compact Residual Corrector,critical_boundary_safety_guarded_transformer,nasa_contribution,2.7327514252287535,0.20301454448476092,1.2838095145440807,4.2918489833843525,1.0,True,707,final lower/better
two_layer_compact_kan_h8_vs_final,two_layer_compact_kan_h8,AeroKAN-PHM Compact Residual Corrector,critical_boundary_safety_guarded_transformer,optimistic_indicator,-0.056577086280056574,-0.1282051282051282,-0.08203677510608204,-0.03253182461103253,0.0,True,707,comparator lower/better
two_layer_compact_kan_h8_vs_final,two_layer_compact_kan_h8,AeroKAN-PHM Compact Residual Corrector,critical_boundary_safety_guarded_transformer,severe_optimistic_indicator,0.0297029702970297,0.3442622950819672,0.018387553041018388,0.042432814710042434,1.0,True,707,final lower/better
two_layer_compact_kan_h8_vs_final,two_layer_compact_kan_h8,AeroKAN-PHM Compact Residual Corrector,critical_boundary_safety_guarded_transformer,fixed_policy_critical_miss_indicator,0.005657708628005658,0.8,0.0014144271570014145,0.011315417256011316,0.983,True,707,final lower/better
two_layer_compact_kan_h8_vs_final,two_layer_compact_kan_h8,AeroKAN-PHM Compact Residual Corrector,critical_boundary_safety_guarded_transformer,mandatory_review_indicator,-0.028288543140028287,-0.17241379310344826,-0.04101838755304102,-0.016973125884016973,0.0,True,707,comparator lower/better
selective_one_sided_aerokan_safety_corrector_vs_final,selective_one_sided_aerokan_safety_corrector,Selective One-Sided AeroKAN Safety Corrector,critical_boundary_safety_guarded_transformer,absolute_error,-0.11462468512805143,-0.007933300247548495,-0.20796476671137845,-0.02790966549382932,0.003,True,707,comparator lower/better
