model_id,display_name,subset,engine_count,mae,rmse,r2,nasa_score,mean_signed_error,median_absolute_error,p90_absolute_error,optimistic_prediction_rate,conservative_prediction_rate,severe_optimistic_error_rate,source_metrics,row_count,optimistic_rate,severe_optimistic_rate,low_rul_optimistic_rate,critical_count,critical_mae,critical_rmse,critical_optimistic_rate,critical_miss_proxy_count,critical_miss_proxy_rate,mean_absolute_correction,median_correction,p90_correction_magnitude,maximum_correction_magnitude,positive_correction_rate,negative_correction_rate
patch_transformer_10x5_mean_b,Patch Transformer — 10×5 Patches with Mean Pooling,FD001,100,11.559683096408843,15.680950144863456,0.8576081266091584,620.3515071880793,5.436909387111664,7.9490203857421875,25.285169982910173,0.68,0.32,0.05,reports/deep_rul_extended/metrics_by_subset.csv,,,,,,,,,,,,,,,,
patch_transformer_10x5_mean_b,Patch Transformer — 10×5 Patches with Mean Pooling,FD002,259,16.52606319253509,23.114594221695416,0.8152644717047861,3647.36206627417,-0.4667950880113256,10.277099609375,43.53345642089845,0.5212355212355212,0.4787644787644787,0.0849420849420849,reports/deep_rul_extended/metrics_by_subset.csv,,,,,,,,,,,,,,,,
patch_transformer_10x5_mean_b,Patch Transformer — 10×5 Patches with Mean Pooling,FD003,100,11.765709166526795,16.17244820233553,0.847369020091283,672.9007500300552,5.222064661979675,8.079814910888672,29.141191101074227,0.64,0.36,0.07,reports/deep_rul_extended/metrics_by_subset.csv,,,,,,,,,,,,,,,,
patch_transformer_10x5_mean_b,Patch Transformer — 10×5 Patches with Mean Pooling,FD004,248,15.969344434238248,22.95186966620603,0.8227998790062387,3305.553890330129,-4.26482878096642,10.015609741210938,41.66441650390629,0.5080645161290323,0.4919354838709677,0.0483870967741935,reports/deep_rul_extended/metrics_by_subset.csv,,,,,,,,,,,,,,,,
physics_regime,Regime-Consistent Physics-Guided Patch Transformer,FD001,100,11.124512765407562,15.068886505312406,0.8685069558755413,533.4345652196616,4.664474947452545,7.650856018066406,26.14426498413086,0.68,0.32,0.05,reports/physics_guided_rul/metrics_by_subset.csv,,,,,,,,,,,,,,,,
physics_regime,Regime-Consistent Physics-Guided Patch Transformer,FD002,259,15.880964665799528,22.682621821027507,0.8221047371898262,3325.616782748247,-2.208386833603318,9.042022705078123,39.05273742675782,0.5019305019305019,0.4980694980694981,0.0617760617760617,reports/physics_guided_rul/metrics_by_subset.csv,,,,,,,,,,,,,,,,
physics_regime,Regime-Consistent Physics-Guided Patch Transformer,FD003,100,11.37937433242798,15.827792901019013,0.8538052176791402,623.4069222952998,4.73684006690979,8.132495880126953,26.392262268066418,0.6,0.4,0.07,reports/physics_guided_rul/metrics_by_subset.csv,,,,,,,,,,,,,,,,
physics_regime,Regime-Consistent Physics-Guided Patch Transformer,FD004,248,15.64438047428285,22.736697425198237,0.8261067835334102,3094.7187288345126,-4.726161242492737,9.385540008544922,41.55529708862305,0.4435483870967742,0.5564516129032258,0.0483870967741935,reports/physics_guided_rul/metrics_by_subset.csv,,,,,,,,,,,,,,,,
two_layer_compact_kan_h8,AeroKAN-PHM Compact Residual Corrector,FD001,100,12.815454869270324,17.658791494825643,0.8194230085133662,977.311277315289,6.712172999382019,8.179916381835938,,,,,reports/aerokan_phm/benchmark_metrics_by_subset.csv,100.0,0.61,0.17,0.28,10.0,3.72184739112854,4.236839602740044,0.0,0.0,0.0,4.275717233717441,1.7584457993507383,7.407193517684937,12.749378204345703,0.59,0.41
two_layer_compact_kan_h8,AeroKAN-PHM Compact Residual Corrector,FD002,259,16.513004615960433,22.68779258930848,0.822023621343925,3753.8709323108897,-1.774504801481387,10.720748901367188,,,,,reports/aerokan_phm/benchmark_metrics_by_subset.csv,259.0,0.416988416988417,0.1196911196911196,0.1311475409836065,46.0,5.371827788974928,6.235998853920895,0.1304347826086956,3.0,0.0652173913043478,4.617552727849212,-0.4016455709934234,8.441613388061523,14.053448677062988,0.4749034749034749,0.525096525096525
two_layer_compact_kan_h8,AeroKAN-PHM Compact Residual Corrector,FD003,100,13.1620681476593,18.249009854438462,0.8056566135086836,1079.8706641604629,6.783002347946167,8.606516599655151,,,,,reports/aerokan_phm/benchmark_metrics_by_subset.csv,100.0,0.52,0.17,0.05,10.0,4.868424701690674,5.332661276656441,0.0,0.0,0.0,4.238963172733784,1.3384951651096344,7.546700382232666,12.735578536987305,0.57,0.43
two_layer_compact_kan_h8,AeroKAN-PHM Compact Residual Corrector,FD004,248,16.36981024280671,22.73063050719195,0.8261995723067467,3705.7788514484746,-4.427554392045544,9.901962280273438,,,,,reports/aerokan_phm/benchmark_metrics_by_subset.csv,248.0,0.3669354838709677,0.0967741935483871,0.1698113207547169,36.0,6.002765682008532,6.703056858059989,0.1388888888888889,2.0,0.0555555555555555,4.774096501598721,-0.5526249706745148,8.19565887451172,12.832392692565918,0.4798387096774194,0.5201612903225806
two_layer_compact_kan_h8,AeroKAN-PHM Compact Residual Corrector,OVERALL,707,15.465818157627696,21.471324319408936,0.8232556430423091,9516.831725235115,-0.2943602518785792,9.803924560546877,,,,,reports/aerokan_phm/benchmark_metrics_by_subset.csv,707.0,0.4413012729844413,0.1258840169731258,0.1572327044025157,102.0,5.383395723268097,6.159823323411375,0.1078431372549019,5.0,0.0490196078431372,4.570565954108276,0.0933021232485771,8.061753463745116,14.053448677062988,0.5063649222065064,0.4936350777934936
