Path,File type,File size,Category,Proposed action,Reason,Attribution required,Safe to delete,Final action
.env.example,.example,471,Keep,Keep,Public release metadata.,No,No,Kept
.gitattributes,.gitattributes,503,Keep,Keep,Public release metadata.,No,No,Kept
.gitignore,.gitignore,2147,Keep,Keep,Public release metadata.,No,No,Kept
CITATION.cff,.cff,1499,Keep,Keep,Public release metadata.,No,No,Kept
CODE_OF_CONDUCT.md,.md,696,Keep,Keep,Public release metadata.,No,No,Kept
CONTRIBUTING.md,.md,1240,Keep,Keep,Public release metadata.,No,No,Kept
LICENSE,LICENSE,11389,Keep,Keep,Public release metadata.,No,No,Kept
MODEL_CARD.md,.md,4165,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
pyproject.toml,.toml,1375,Keep,Keep,Public release metadata.,No,No,Kept
pytest.ini,.ini,107,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
README.md,.md,35591,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
REPRODUCIBILITY.md,.md,2050,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
SECURITY.md,.md,914,Keep,Keep,Public release metadata.,No,No,Kept
THIRD_PARTY_NOTICES.md,.md,3049,Keep,Keep,Public release metadata.,No,No,Kept
.github/workflows/ci.yml,.yml,1280,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
.ruff_cache/.gitignore,.gitignore,35,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
.ruff_cache/CACHEDIR.TAG,.tag,43,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
.ruff_cache/0.15.20/11819955618034462510,11819955618034462510,957,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
.ruff_cache/0.15.20/14925571079534158161,14925571079534158161,211,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
.ruff_cache/0.15.20/2583144885230234230,2583144885230234230,6008,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
.ruff_cache/0.15.20/3293565112686943530,3293565112686943530,95,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
.ruff_cache/0.15.20/4290809782184162674,4290809782184162674,2904,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
.ruff_cache/0.15.20/8481538610315914886,8481538610315914886,64,Keep,Keep,"Project source, config, docs, tests or curated example.",No,No,Kept
artifacts/aerokan_phm/abstention_risk_model.pkl,.pkl,144,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/aerokan_phm/aerokan_corrector.pt,.pt,12697,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/aerokan_phm/feature_preprocessor.pkl,.pkl,3481,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/aerokan_phm/healthy_regime_baseline_metadata.json,.json,468,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/aerokan_phm/maintenance_policy.pkl,.pkl,545,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/aerokan_phm/pruning_mask.json,.json,176,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
artifacts/aerokan_phm/uncertainty_model.pkl,.pkl,187,Add to .gitignore,Ignore,Generated model artifact not required for public inference.,No,No,Ignored
